1.Category;2.Code;3.Name;4.Creation Date;5.Date last modification;6.Operational Status;7.Company name;8. User/Email;9.User/Full Name;10. User/Name;11.User/Phone;12.User/Surname;13;14;15;16;17;18;19;20
ANT-Antenna;TestNuevaCarga006-ANT-0320;ANT2;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT2
ANT-Antenna;TestNuevaCarga006-ANT-0321;ANT3;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT3
ANT-Antenna;TestNuevaCarga006-ANT-0322;ANT4;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT4
ANT-Antenna;TestNuevaCarga006-ANT-0323;ANT5;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT5
ANT-Antenna;TestNuevaCarga006-ANT-0324;ANT6;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT6
ANT-Antenna;TestNuevaCarga006-ANT-0325;ANT7;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT7
ANT-Antenna;TestNuevaCarga006-ANT-0332;ANT8;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT8
ANT-Antenna;TestNuevaCarga006-ANT-0333;ANT9;28/10/2021;28/10/2021;ON;ATREBO;elena.rodriguez@atrebo.com;Elena  Rodriguez;Elena ;+34 66666;Rodriguez;Office;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;ANT9
ANT-Antenna;Test_Antena_001;Test_Antena_001;28/10/2021;28/10/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;Test_Antena_001
ANT-Antenna;TSTFGP20210914-Antenna-0337;AAAAD004TEST-Calle Doctor Bernardo Igles;11/02/2021;11/02/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Office;EURO;EUR;Andaluc?a;;ON-AIR;ON;AAAAD004TEST-Calle Doctor Bernardo Igles
ANT-Antenna;TestNuevaCarga010-T-0364;AAABD030TEST-Test ;11/04/2021;11/04/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;EURO;EUR;Catalu?a;;ON-AIR;ON;AAABD030TEST-Test 
ANT-Antenna;TestNuevaCarga010-T-0384O;AAABW049TEST-Test ON;11/09/2021;11/09/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;EURO;EUR;Catalu?a;;ON-AIR;ON;AAABW049TEST-Test ON
ANT-Antenna;TestNuevaCarga010-T-0385O;AAABX050TEST-Test ON;11/10/2021;11/10/2021;ON;ATREBO;pedro.cortes@atrebo.com;Pedro Cort?s;Pedro;+34 68464;Cort?s;Rooftop;EURO;EUR;Pa?s Vasco;;ON-AIR;ON;AAABX050TEST-Test ON
ANT-Antenna;135GD-33Gree00022;135GD-33Gree00022;11/11/2021;11/11/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;135GD-33Gree00022
ANT-Antenna;Antena_111121_01;Antena_111121_01;11/11/2021;11/11/2021;ON;ATREBO;ramon.poch@atrebo.com;Ramon Poch;Ramon;+34 605605605;Poch;Rooftop;DOLAR;$;Andaluc?a;;ON-AIR;ON;Antena_111121_01
